author_id,username,followers,tweet_id,label,lable_followers,score,object_type,created,active_type,score_current_time
1868212828307615744,HCR_BOT,9284,1879309630544711725,hodlerr0,12701,50,user,1736897306000,comment,50.0
4927225006,HUADA999,102048,1901246217444806962,cz_binance,9992682,50,user,1742127396000,comment,50.0
4927225006,HUADA999,102048,1901246217444806962,heyibinance,403543,0,user,1742127396000,comment,0.0
1665828068886302721,HardhatChad,13619,1896342115007054088,jacobvcreech,14799,70,user,1740958167000,comment,70.0
2289728340,HarryLin1024,1703,1904930476017803442,brc20niubi,49399,70,user,1743005792000,comment,70.0
2289728340,HarryLin1024,1703,1904930476017803442,cz_binance,9992682,80,user,1743005792000,comment,80.0
1552681466332557317,Hikjljb,20676,1854125877254291935,playrunehero,25644,0,user,1730893031000,comment,0.0
1552681466332557317,Hikjljb,20676,1854125877254291935,tz529,3181,30,user,1730893031000,comment,30.0
1774969285884170240,HobbesOnSolana,7210,1784278459864223923,blknoiz06,706493,40,user,1714240109000,comment,40.0
1774969285884170240,HobbesOnSolana,7210,1786739135471890573,blknoiz06,706493,50,user,1714826780000,comment,45.0
1774969285884170240,HobbesOnSolana,7210,1788568343814758854,blknoiz06,706493,50,user,1715262897000,comment,46.666666666666664
1774969285884170240,HobbesOnSolana,7210,1788927584908055005,blknoiz06,706493,70,user,1715348547000,comment,52.5
1774969285884170240,HobbesOnSolana,7210,1789463941296378230,blknoiz06,706493,50,user,1715476424000,comment,52.0
1774969285884170240,HobbesOnSolana,7210,1791139681763013054,blknoiz06,706493,80,user,1715875952000,comment,56.666666666666664
1774969285884170240,HobbesOnSolana,7210,1800695122151260193,blknoiz06,706493,60,user,1718154147000,comment,57.142857142857146
1774969285884170240,HobbesOnSolana,7210,1784278459864223923,blknoiz06intern,22655,30,user,1714240109000,comment,30.0
1774969285884170240,HobbesOnSolana,7210,1789463941296378230,blknoiz06intern,22655,60,user,1715476424000,comment,45.0
1437790012892930050,HotSolSummer,21460,1465852471562043395,WizardsSolana,1354,80,user,1638321438000,comment,80.0
557822642,HouseofYogiX,14562,1891929713645428828,graildoteth,81378,-90,user,1739906168000,comment,-90.0
944686196331966464,HsakaTrades,593686,1886473039367315487,ethereumJoseph,333658,40,user,1738605196000,comment,40.0
22341856,IamNomad,222480,1892248833091920231,cobie,771961,-50,user,1739982252000,comment,-50.0
1107518478,JasonYanowitz,121817,1900192972496310589,cobie,771961,-20,user,1741876283000,comment,-20.0
958495164686917632,Justin_Bons,60949,1881897143566586128,EldarDRM,22134,-40,user,1737514217000,comment,-40.0
1480615962257018880,LawlietCrypto,1327,1790969054653825147,blknoiz06,706493,0,user,1715835271000,comment,0.0
2652239532,Ledger,654291,1565346335901253632,ETHLisbon,9569,100,user,1662042623000,comment,100.0
43949721,LefterisJP,63794,1877445847631225078,gnosispay,20467,50,user,1736452945000,comment,50.0
43949721,LefterisJP,63794,1877445847631225078,koeppelmann,53072,80,user,1736452945000,comment,80.0
43949721,LefterisJP,63794,1877445847631225078,zealwallet,6311,70,user,1736452945000,comment,70.0
1074022139454476289,LeonardDonalds,4672,1884841758355280156,AltcoinGordon,735289,70,user,1738216268000,comment,70.0
1074022139454476289,LeonardDonalds,4672,1888452494793048536,blknoiz06,706493,-30,user,1739077135000,comment,-30.0
1074022139454476289,LeonardDonalds,4672,1884749886186266779,digitalartchick,202478,60,user,1738194364000,comment,60.0
1074022139454476289,LeonardDonalds,4672,1888756845944164665,frankdegods,417648,80,user,1739149698000,comment,80.0
1074022139454476289,LeonardDonalds,4672,1888452494793048536,stoolpresidente,3677818,-40,user,1739077135000,comment,-40.0
1074022139454476289,LeonardDonalds,4672,1884888215900864725,zachxbt,841036,70,user,1738227344000,comment,70.0
1372592675640197127,LostProphetSol,6812,1879734570951791029,assetdash,125185,80,user,1736998620000,comment,80.0
1372592675640197127,LostProphetSol,6812,1879734570951791029,mobyagent,98230,70,user,1736998620000,comment,70.0
